FACILITY ID,FACILITY NAME,REGION,PROGRAM CATEGORY,ASSIGNED CATEGORY,COMMUNITY TYPE,FEDERAL FACILITY,NPDES ASSESSMENT,WDR ASSESSMENT,CS ASSESSMENT,wdid,npdes_permit_number,order_number,pop_cwns,pop_cwns_2042,pop_sso_csv,pop_covid,pop_served_csv,pop_source_csv,pop_growth_rate,wdid_sso,pop_served_via_rwb,pop_final,pop_final_source,pop_final_rwb_preferred,pop_final_rwb_preferred_source
206164,Arcata City WWTF,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B82114OHUM,CA0022713,R1-2019-0006,17266,20489,NA,NA,17266,CWNS,0.86,NA,NA,17266,pop_cwns,17266,pop_cwns
214888,Cloverdale City WWTP,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B84032OSON,CA0022977,R1-2018-0034,NA,NA,NA,NA,NA,No data,NA,NA,NA,NA,NA,NA,NA
215966,Covelo POTW,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B83009OMEN,CA0023574,R1-2023-0006,1080,1080,NA,NA,1080,CWNS,0,NA,NA,1080,pop_cwns,1080,pop_cwns
216106,Crescent City WWTP,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1A84006ODN,CA0022756,R1-2023-0039,11771,8647,9250,15372,11771,CWNS+SSO+COVID,-1.53,NA,NA,11771,pop_cwns,11771,pop_cwns
223010,Eureka City Elk River WWTP,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B82151OHUM,CA0024449,R1-2023-0016,41400,36895,16667,45000,41400,CWNS+SSO+COVID,-0.57,NA,NA,41400,pop_cwns,41400,pop_cwns
224348,Ferndale City POTW,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B83136OHUM,CA0022721,R1-2018-0046,1350,1350,NA,NA,1350,CWNS,0,NA,NA,1350,pop_cwns,1350,pop_cwns
224901,Forestville Water District,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B83100OSON,CA0023043,R1-2018-0002,837,822,NA,NA,837,CWNS,-0.09,NA,NA,837,pop_cwns,837,pop_cwns
225055,Fort Bragg City WWTP,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B84083OMEN,CA0023078,R1-2019-0020,6928,6369,7500,NA,6928,CWNS+SSO,-0.42,NA,NA,6928,pop_cwns,6928,pop_cwns
225089,Fortuna City WWTP,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B83135OHUM,CA0022730,R1-2017-0005,11638,11700,12295,NA,11638,CWNS+SSO,0.03,NA,NA,11638,pop_cwns,11638,pop_cwns
256050,Graton CSD,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B84060OSON,CA0023639,R1-2018-0001,941,918,1815,NA,941,CWNS+SSO,-0.12,NA,NA,941,pop_cwns,941,pop_cwns
229922,Healdsburg City WWTP,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B82046OSON,CA0025135,R1-2022-0017,10980,10980,NA,NA,10980,CWNS,0,NA,NA,10980,pop_cwns,10980,pop_cwns
237295,Loleta WWTF,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B80081OHUM,CA0023671,R1-2020-0002,676,743,NA,NA,676,CWNS,0.47,NA,NA,676,pop_cwns,676,pop_cwns
240093,McKinleyville WWTP,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B82084OHUM,CA0024490,R1-2018-0032,15210,17348,15700,NA,15210,CWNS+SSO,0.66,NA,NA,15210,pop_cwns,15210,pop_cwns
240307,Mendocino City CSD,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B83129OMEN,CA0022870,R1-2022-0001,1904,1904,NA,NA,1904,CWNS,0,NA,NA,1904,pop_cwns,1904,pop_cwns
240318,Mendocino County WWD#2-Anchor Bay,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B83118OMEN,CA0024040,R1-2021-0005,95,95,NA,NA,95,CWNS,0,NA,NA,95,pop_cwns,95,pop_cwns
256056,Occidental CSD,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B83001OSON,CA0023051,R1-2012-0101,NA,NA,NA,NA,NA,No data,NA,NA,NA,NA,NA,NA,NA
252211,Redway POTW,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B83147OHUM,CA0022781,R1-2023-0004,NA,NA,NA,NA,NA,No data,NA,NA,NA,NA,NA,NA,NA
252750,Rio Dell City WWTF,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B83134OHUM,CA0022748,R1-2023-0022,2790,2790,NA,NA,2790,CWNS,0,NA,NA,2790,pop_cwns,2790,pop_cwns
256061,SCWA Russian River CSD,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B82045OSON,CA0024058,R1-2021-0002,NA,NA,NA,NA,NA,No data,NA,NA,NA,NA,NA,NA,NA
255165,Samoa Pacific WWTP (Samoa Town Site),1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B85017RHUM,CA1000001,R1-2020-0005,0,495,NA,NA,0,CWNS,Inf,NA,NA,0,pop_cwns,0,pop_cwns
255703,Santa Rosa Laguna Subregional Water Reclamation Facility,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B83099OSON,CA0022764,R1-2020-0012,262365,368674,NA,230000,262365,CWNS+COVID,1.72,NA,NA,262365,pop_cwns,262365,pop_cwns
807206,Scotia Community Services District,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No data,NA,NA,NA,NA,NA,NA,NA
784780,Scotia Town - City,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B83104OHUM,CA0006017,R1-2012-0065,NA,NA,NA,NA,NA,No data,NA,NA,NA,NA,NA,NA,NA
256749,Shelter Cove POTW,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B84086OHUM,CA0023027,R1-2022-0002,1350,1755,647,NA,1350,CWNS+SSO,1.32,NA,NA,1350,pop_cwns,1350,pop_cwns
268960,Ukiah City WWTP,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B84029OMEN,CA0022888,R1-2018-0035,NA,NA,21500,NA,21500,SSO,NA,NA,NA,21500,pop_sso_csv,21500,pop_sso_csv
272646,Willits City WWTP,1,NPDESWW,i,COMMUNITY,FALSE,Yes,No,No,1B80078OMEN,CA0023060,R1-2021-0021,NA,NA,NA,NA,NA,No data,NA,NA,NA,NA,NA,NA,NA
