REGION,WDID,FACILITY NAME,FACILITY ID,pop_final,pop_final_source,pop_final_rwb_preferred,pop_final_rwb_preferred_source
1,1SSO10001,Arcata City CS,630338,19114,pop_served_via_rwb,19114,pop_served_via_rwb
1,1SSO10021,Covelo City CS,630387,425,pop_served_via_rwb,425,pop_served_via_rwb
1,1SSO10069,CSU Sonoma CS,630482,10000,pop_served_via_rwb,10000,pop_served_via_rwb
1,1SSO10024,Dorris City CS,630390,938,pop_served_via_rwb,938,pop_served_via_rwb
1,1SSO11467,Fort Bragg City CS,630379,7500,pop_served_via_rwb,7500,pop_served_via_rwb
1,1SSO10031,Fortuna City CS,630403,12295,pop_served_via_rwb,12295,pop_served_via_rwb
1,1SSO10036,Happy Camp SD CS,630416,927,pop_served_via_rwb,927,pop_served_via_rwb
1,1SSO10037,Healdsburg City CS,630417,11340,pop_served_via_rwb,11340,pop_served_via_rwb
1,1SSO11419,Humboldt CSD CS,645094,16667,pop_served_via_rwb,16667,pop_served_via_rwb
1,1SSO11173,Humboldt State Univeristy CS,631092,12000,pop_served_via_rwb,12000,pop_served_via_rwb
1,1SSO11475,Palmer Creek CSD CS,646217,367,pop_served_via_rwb,367,pop_served_via_rwb
1,1SSO10055,Redway CS,630460,1150,pop_served_via_rwb,1150,pop_served_via_rwb
1,1SSO10058,Rio Dell City CS,630463,3100,pop_served_via_rwb,3100,pop_served_via_rwb
1,1SSO10067,SCWA Russian River CSD CS,630480,7305,pop_served_via_rwb,7305,pop_served_via_rwb
1,1SSO11490,U.S. Coast Guard TRACEN CS,648006,1650,pop_served_via_rwb,1650,pop_served_via_rwb
2,2SSO11610,Airport Industrial Wastewater CS,770699,NA,NA,NA,NA
2,2SSO10087,Alameda City CS,630863,80000,pop_served_via_rwb,80000,pop_served_via_rwb
2,2SSO10104,Ccsf - San Francisco Airport CS,631023,NA,NA,NA,NA
2,2SSO10129,East Palo Alto Sanitary Dist. CS,630848,7155,pop_served_via_rwb,7155,pop_served_via_rwb
2,2SSO10228,Fair Oaks SMD,752093,28816,pop_served_via_rwb,28816,pop_served_via_rwb
2,2SSO10158,Mt. View SD CS,630944,21900,pop_served_via_rwb,21900,pop_served_via_rwb
2,2SSO10159,Napa Sd CS,630948,77818,pop_served_via_rwb,77818,pop_served_via_rwb
2,2SSO10162,Novato And Ignacio CS,630953,60000,pop_served_via_rwb,60000,pop_served_via_rwb
2,2SSO11204,Oakland City CS,645344,425097,pop_served_via_rwb,425097,pop_served_via_rwb
2,2SSO10165,Petaluma City CS,630961,64316,pop_served_via_rwb,64316,pop_served_via_rwb
2,2SSO10170,Richmond City CS,630971,68280,pop_served_via_rwb,68280,pop_served_via_rwb
2,2SSO10177,San Carlos City CS,630988,30000,pop_served_via_rwb,30000,pop_served_via_rwb
2,2SSO10172,San Dist #1 of Marin CS,630976,47000,pop_served_via_rwb,47000,pop_served_via_rwb
2,2SSO10193-C,San Francisco City Combined CS,867839,NA,NA,NA,NA
2,2SSO10179,San Jose City CS,630994,1068520,pop_served_via_rwb,1068520,pop_served_via_rwb
2,2SSO10183,San Mateo CIty CS,631006,104748,pop_served_via_rwb,104748,pop_served_via_rwb
2,2SSO10184,San Rafael SD CS,631008,38000,pop_served_via_rwb,38000,pop_served_via_rwb
2,2SSO10114,Sausalito City CS,630790,7037,pop_served_via_rwb,7037,pop_served_via_rwb
2,2SSO11533,SLAC National Accelerator Laboratory CS,727334,NA,NA,NA,NA
2,2SSO10196,Sonoma Valley County S.D. CS,631036,44706,pop_served_via_rwb,44706,pop_served_via_rwb
2,2SSO10115,South San Francisco City CS,630795,67420,pop_served_via_rwb,67420,pop_served_via_rwb
2,2SSO10142,Town Of Hillsborough CS,630900,11016,pop_served_via_rwb,11016,pop_served_via_rwb
2,2SSO18110,Treasure Island Development Authority CS,818847,NA,NA,NA,NA
2,2SSO10216,West County WW District CS,631679,100000,pop_served_via_rwb,100000,pop_served_via_rwb
2,2SSO10218,Woodside CS,631682,500,pop_served_via_rwb,500,pop_served_via_rwb
3,3SSO18092,Boronda Sanitation District CS,724874,1710,pop_served_via_rwb,1710,pop_served_via_rwb
3,3SSO10244,Carmel Area Wastewater District Collection System,631879,11000,pop_served_via_rwb,11000,pop_served_via_rwb
3,3SSO10265,El Estero CS,631960,95000,pop_served_via_rwb,95000,pop_served_via_rwb
3,3SSO10250,Guadalupe City CS,631909,8546,pop_served_via_rwb,8546,pop_served_via_rwb
3,3SSO11524,Monterey City CS,632060,30218,pop_served_via_rwb,30218,pop_served_via_rwb
3,3SSO10293,Monterey Csa - Chualar CS,632057,1190,pop_served_via_rwb,1190,pop_served_via_rwb
3,3SSO10305,Paso Robles CS,631705,30500,pop_served_via_rwb,30500,pop_served_via_rwb
3,3SSO11422,Pebble Beach CSD CS,645126,4500,pop_served_via_rwb,4500,pop_served_via_rwb
3,3SSO10308,Port San Luis Harbor District CS,631713,250,pop_served_via_rwb,250,pop_served_via_rwb
3,3SSO10316,San Ardo CS,631739,529,pop_served_via_rwb,529,pop_served_via_rwb
3,3SSO10317,San Juan Bautista CS,631744,1800,pop_served_via_rwb,1800,pop_served_via_rwb
3,3SSO10320,San Luis Obispo CS,631748,45000,pop_served_via_rwb,45000,pop_served_via_rwb
4,4SSO11388,County Sanitation District Joint Outfall CS,644312,4757320,pop_served_via_rwb,4757320,pop_served_via_rwb
4,4SSO10351,CSU Polytechnic Pomona CS,631750,27500,pop_served_via_rwb,27500,pop_served_via_rwb
4,4SSO10393,Huntington Park City CS,632001,54883,pop_served_via_rwb,54883,pop_served_via_rwb
4,4SSO10450,Hyperion CS,631789,4624459,pop_served_via_rwb,4624459,pop_served_via_rwb
4,4SSO10394,Industry City CS,632002,264,pop_served_via_rwb,264,pop_served_via_rwb
4,4SSO10420,Rancho Palos Verdes City CS,631219,42893,pop_served_via_rwb,42893,pop_served_via_rwb
4,4SSO10426,San Fernando City CS,631232,24585,pop_served_via_rwb,24585,pop_served_via_rwb
4,4SSO10431,Santa Monica City CS,631318,93283,pop_served_via_rwb,93283,pop_served_via_rwb
4,4SSO10432,Sierra Madre City CS,631323,11094,pop_served_via_rwb,11094,pop_served_via_rwb
4,4SSO10491,Terminal Island CS,631858,199081,pop_served_via_rwb,199081,pop_served_via_rwb
4,4SSO10449,Thousand Oaks Municipal Service Center,631788,130000,pop_served_via_rwb,130000,pop_served_via_rwb
4,4SSO10445,US Department of Veteran Affairs CS,631784,5000,pop_served_via_rwb,5000,pop_served_via_rwb
4,4SSO10442,West Covina CS,631781,111400,pop_served_via_rwb,111400,pop_served_via_rwb
4,4SSO11368,West Hollywood CS,643371,37805,pop_served_via_rwb,37805,pop_served_via_rwb
5,5SSO10865,Angels Camp CS,631422,4178,pop_served_via_rwb,4178,pop_served_via_rwb
5,5SSO10869,Auburn Lk Trls Onsite WW Disp CS,631428,338,pop_served_via_rwb,338,pop_served_via_rwb
