REGION,FACILITY ID,FACILITY NAME,pop_final,pop_final_source,pop_final_rwb_preferred,pop_final_rwb_preferred_source
1,243820,Thousand Trails Russian River Park,NA,NA,NA,NA
1,270618,Vintners Inn,NA,NA,NA,NA
1,212776,Calpella CWD WWTP,309132,pop_cwns,309132,pop_cwns
1,245775,Oceana Marin (North Marin CWD),363144,pop_cwns,363144,pop_cwns
1,256057,SCWA Oceanic Properties Sea Ranch Central Plant,309132,pop_cwns,309132,pop_cwns
1,236941,"Lewiston CSD WWTP, POTW",366930,pop_cwns,366930,pop_cwns
3,213535,Cate School WWTP,34096,pop_cwns,34096,pop_cwns
3,256483,Soledad WWTP,NA,NA,NA,NA
3,252700,Ridgemark Estates WWTP,NA,NA,NA,NA
3,247199,Pacific Dunes Ranch,NA,NA,NA,NA
3,241305,Chualar WWTP,38102,pop_cwns,38102,pop_cwns
3,227893,"Greenfield WWTP, City of",18967,pop_sso_csv,18967,pop_sso_csv
3,245564,Oak Hills Development WWTP,NA,NA,NA,NA
3,206651,Atascadero State Hospital,38250,pop_cwns,38250,pop_cwns
3,210685,Buellton WWTP,49715,pop_cwns,49715,pop_cwns
3,213029,Canada Woods Reclamation Facility,207450,pop_cwns,207450,pop_cwns
3,237123,Lion's Gate Reserve,NA,NA,NA,NA
3,236601,Las Palmas Ranch Reclamation Facility,NA,NA,NA,NA
3,220836,Dunn School WWTP,NA,NA,NA,NA
3,247731,Pasadera Reclamation Facility (Producer),NA,NA,NA,NA
3,213294,Carmel Valley Ranch WWTP (Producer),207450,pop_cwns,207450,pop_cwns
3,228104,Guadalupe WWTP,104,pop_cwns,104,pop_cwns
3,847506,Monterey Vacation RV Park,NA,NA,NA,NA
3,255678,City of Santa Maria WWTP,184660,pop_cwns,184660,pop_cwns
3,237395,Los Alamos WWTP,NA,NA,NA,NA
3,771776,The Inn at Mattei's Tavern,NA,NA,NA,NA
3,255190,San Ardo WWTP,8460,pop_cwns,8460,pop_cwns
4,217147,USC Marine Science Center,104,pop_cwns,104,pop_cwns
4,268842,"Two Harbors STP, Catalina Island",NA,NA,NA,NA
4,268023,Vista Pacifica at Broad Beach,NA,NA,NA,NA
4,260412,Thomas Aquinas College,NA,NA,NA,NA
4,260486,Jose Flores WWTP,1043,pop_cwns,1043,pop_cwns
4,225897,"Fire Camp #8, Malibu",NA,NA,NA,NA
4,267429,The Thacher School WWTP,1043,pop_cwns,1043,pop_cwns
4,242163,Malibu Outrigger Condos,NA,NA,NA,NA
4,242174,The Surfrider Malibu,NA,NA,NA,NA
4,650554,Santa Paula WRF,104,pop_cwns,104,pop_cwns
