NPDES # CA#,ORDER #,WDID,FACILITY NAME,population_cwns,population_cwns_2042,population_sso,epaid,population_covid,source,Population Served,population_growth_rate
CA0022713,R1-2019-0006,1B82114OHUM,Arcata City WWTF,17266,20489,,,,CWNS,17266,0.86
CA0022977,R1-2018-0034,1B84032OSON,Cloverdale City WWTP,,,,,,No data,,
CA0023574,R1-2023-0006,1B83009OMEN,Covelo POTW,1080,1080,,,,CWNS,1080,0
CA0022756,R1-2023-0039,1A84006ODN,Crescent City WWTP,11771,8647,9250,CA0022756,15372,CWNS+SSO+COVID,11771,-1.53
CA0024449,R1-2023-0016,1B82151OHUM,Eureka City Elk River WWTP,41400,36895,16667,CA0024449,45000,CWNS+SSO+COVID,41400,-0.57
CA0022721,R1-2018-0046,1B83136OHUM,Ferndale City POTW,1350,1350,,,,CWNS,1350,0
CA0023043,R1-2018-0002,1B83100OSON,Forestville Water District,837,822,,,,CWNS,837,-0.09
CA0023078,R1-2019-0020,1B84083OMEN,Fort Bragg City WWTP,6928,6369,7500,,,CWNS+SSO,6928,-0.42
CA0022730,R1-2017-0005,1B83135OHUM,Fortuna City WWTP,11638,11700,12295,,,CWNS+SSO,11638,0.03
CA0023639,R1-2018-0001,1B84060OSON,Graton CSD,941,918,1815,,,CWNS+SSO,941,-0.12
CA0025135,R1-2022-0017,1B82046OSON,Healdsburg City WWTP,10980,10980,,,,CWNS,10980,0
CA0023671,R1-2020-0002,1B80081OHUM,Loleta WWTF,676,743,,,,CWNS,676,0.47
CA0024490,R1-2018-0032,1B82084OHUM,McKinleyville WWTP,15210,17348,15700,,,CWNS+SSO,15210,0.66
CA0022870,R1-2022-0001,1B83129OMEN,Mendocino City CSD,1904,1904,,,,CWNS,1904,0
CA0024040,R1-2021-0005,1B83118OMEN,Mendocino County WWD#2-Anchor Bay,95,95,,,,CWNS,95,0
CA0023051,R1-2012-0101,1B83001OSON,Occidental CSD,,,,,,No data,,
CA0022781,R1-2023-0004,1B83147OHUM,Redway POTW,,,,,,No data,,
CA0022748,R1-2023-0022,1B83134OHUM,Rio Dell City WWTF,2790,2790,,,,CWNS,2790,0
CA0024058,R1-2021-0002,1B82045OSON,SCWA Russian River CSD,,,,,,No data,,
CA1000001,R1-2020-0005,1B85017RHUM,Samoa Pacific WWTP (Samoa Town Site),0,495,,,,CWNS,0,inf
CA0022764,R1-2020-0012,1B83099OSON,Santa Rosa Laguna Subregional Water Reclamation Facility,262365,368674,,CA0022764,230000,CWNS+COVID,262365,1.72
,,,Scotia Community Services District,,,,,,No data,,
CA0006017,R1-2012-0065,1B83104OHUM,Scotia Town - City,,,,,,No data,,
CA0023027,R1-2022-0002,1B84086OHUM,Shelter Cove POTW,1350,1755,647,,,CWNS+SSO,1350,1.32
CA0022888,R1-2018-0035,1B84029OMEN,Ukiah City WWTP,,,21500,,,SSO,21500,
CA0023060,R1-2021-0021,1B80078OMEN,Willits City WWTP,,,,,,No data,,
CA0023345,R1-2020-0010,1B82037OSON,"Windsor Wastewater Treatment, Reclamation, and Disposal Facility",24793,23963,,CA0023345,28000,CWNS+COVID,24793,-0.17
CA0038768,R2-2022-0019,2 283021001,American Canyon Water Reclamation Facility (WRF) (formerly WWTP),18869,18869,,CA0038768,20256,CWNS+COVID,18869,0
CA0038091,R2-2019-0034,2 482001001,Benicia WWTP,25357,27301,,,,CWNS,25357,0.37
CA0037788,R2-2018-0024,2 417005001,Burlingame WWTP,37523,43431,,,,CWNS,37523,0.73
